33F7	0020	0020
32CF	0020	0020
2C16	0020	0020
2DA0	0020	0020
2B97	0020	0020
2BEE	0020	0020
3240	0020	0020
328C	0020	0020
2F64	0020	0020
3098	0020	0020
2003	0020	0020
202C	0020	0020
1FC2	0020	0020
1FE8	0020	0020
2066	0020	0020
206D	0020	0020
2035	0020	0020
2055	0020	0020
1F11	0020	0020
1E52	0020	0020
1E5D	0020	0020
1DB6	0020	0020
1E29	0020	0020
1EB7	0020	0020
1EC5	0020	0020
1E68	0020	0020
1E84	0020	0020
207A	0020	0020
2358	0020	0020
23AE	0020	0020
2315	0020	0020
233F	0020	0020
2475	0020	0020
249E	0020	0020
23E3	0020	0020
23FC	0020	0020
22FB	0020	0020
211E	0020	0020
21AF	0020	0020
20B1	0020	0020
2103	0020	0020
22EC	0020	0020
22F3	0020	0020
2223	0020	0020
2260	0020	0020
13B8	0020	0020
0B1E	0020	0020
0B2C	0020	0020
0B0F	0020	0020
0B18	0020	0020
0B77	0020	0020
0B83	0020	0020
0B4D	0020	0020
0B4E	0020	0020
0AF9	0020	0020
0A87	0020	0020
0A8B	0020	0020
0A68	0020	0020
0A7C	0020	0020
0AAF	0020	0020
0AE8	0020	0020
0A97	0020	0020
0AAE	0020	0020
0C47	0020	0020
0C67	0020	0020
0C04	0020	0020
0C33	0020	0020
0C8E	0020	0020
0CA9	0020	0020
0C6C	0020	0020
0C80	0020	0020
0BFF	0020	0020
0B99	0020	0020
0BAE	0020	0020
0B88	0020	0020
0B93	0020	0020
0BEC	0020	0020
0BF2	0020	0020
0BCF	0020	0020
0BDF	0020	0020
068C	0020	0020
06B0	0020	0020
0629	0020	0020
068A	0020	0020
07DE	0020	0020
07FE	0020	0020
06B1	0020	0020
06D6	0020	0020
05EC	0020	0020
0451	0020	0020
047F	0020	0020
02AF	0020	0020
02EB	0020	0020
05B4	0020	0020
05B6	0020	0020
04C1	0020	0020
05B1	0020	0020
0A0F	0020	0020
0A2A	0020	0020
09B9	0020	0020
09E9	0020	0020
0A52	0020	0020
0A67	0020	0020
0A35	0020	0020
0A3F	0020	0020
09AC	0020	0020
085D	0020	0020
08A5	0020	0020
082D	0020	0020
0838	0020	0020
0981	0020	0020
0998	0020	0020
095A	0020	0020
096A	0020	0020
1282	0020	0020
1298	0020	0020
1264	0020	0020
1273	0020	0020
12CD	0020	0020
12CE	0020	0020
12AA	0020	0020
12BC	0020	0020
1251	0020	0020
11F3	0020	0020
11FF	0020	0020
11BB	0020	0020
11E1	0020	0020
1235	0020	0020
1244	0020	0020
1218	0020	0020
1228	0020	0020
137E	0020	0020
1384	0020	0020
1370	0020	0020
1372	0020	0020
13AF	0020	0020
13B1	0020	0020
1394	0020	0020
13A8	0020	0020
1360	0020	0020
12FE	0020	0020
130E	0020	0020
12DE	0020	0020
12EE	0020	0020
133E	0020	0020
134E	0020	0020
131E	0020	0020
132E	0020	0020
0E5C	0020	0020
0E79	0020	0020
0DDE	0020	0020
0E55	0020	0020
0F2F	0020	0020
0F7F	0020	0020
0EDB	0020	0020
0EF7	0020	0020
0DAF	0020	0020
0CDD	0020	0020
0CEC	0020	0020
0CB4	0020	0020
0CDB	0020	0020
0D73	0020	0020
0D89	0020	0020
0D25	0020	0020
0D6B	0020	0020
10D8	0020	0020
10DA	0020	0020
10B9	0020	0020
10BF	0020	0020
119B	0020	0020
11B4	0020	0020
112E	0020	0020
115F	0020	0020
10A2	0020	0020
0FE3	0020	0020
1007	0020	0020
0F93	0020	0020
0F9E	0020	0020
108B	0020	0020
10A0	0020	0020
1030	0020	0020
107C	0020	0020
